account_id,txn_date,value_date,amount_paise,direction,description,reference
ACC-001,2026-06-15,2026-06-15,6703645,credit,RENT PRESTIGE ESTATES,UTR603799651266
ACC-001,2026-06-20,2026-06-20,-5670342,debit,SYNERGY SOLUTIONS,UTR177738827541
ACC-001,2026-06-15,2026-06-15,9375296,credit,BLUECHIP INDS,UTR486260407870
ACC-001,2026-06-16,2026-06-16,34732285,credit,ZEPHYR LTD NEFT,UTR989003396697
ACC-001,2026-06-16,2026-06-16,-24394047,debit,NEFT QUANTUM,UTR428799513174
ACC-001,2026-06-17,2026-06-17,45750887,credit,NEFT NORTHWIND TRADERS,UTR762635097563
ACC-001,2026-06-17,2026-06-17,-1745899,debit,NEFT ZEPHYR LTD,UTR655184583398
ACC-001,2026-06-18,2026-06-18,-6419392,debit,PRESTIGE ESTATES,UTR148432972787
ACC-001,2026-06-18,2026-06-18,6474465,credit,NEFT ACME CORP,UTR391971008994
ACC-001,2026-06-18,2026-06-18,-1837073,debit,NEFT NORTHWIND TRADERS,UTR859707157168
ACC-001,2026-06-18,2026-06-18,-3569334,debit,NORTHWIND TRD,
ACC-001,2026-06-18,2026-06-18,-3838552,debit,NEFT VERTEX,UTR975885943559
ACC-001,2026-06-19,2026-06-19,11615876,credit,SYNERGY SOLN NEFT,UTR486988551875
ACC-001,2026-06-19,2026-06-19,-33607904,debit,APEX DYNAMICS PVT,UTR992493718889
ACC-001,2026-06-20,2026-06-20,1007959,credit,PINNACLE TECH NEFT,UTR960420184902
ACC-001,2026-06-20,2026-06-20,-16577293,debit,PINNACLE TECHNOLOGIES,
ACC-001,2026-06-20,2026-06-20,1918733,credit,BOLTPARTS PVT,UTR342539766821
ACC-001,2026-06-21,2026-06-21,60632403,credit,ZEPHYR NEFT,UTR406352552364
ACC-001,2026-06-21,2026-06-21,11770374,credit,NEFT CREST,UTR692034016653
ACC-001,2026-06-22,2026-06-22,3314893,credit,ACME CORP LTD,
ACC-001,2026-06-22,2026-06-22,-6601267,debit,NEFT NORTHWIND TRADERS,UTR900348631876
ACC-001,2026-06-22,2026-06-22,9660105,credit,NEFT APEX,UTR226750596909
ACC-001,2026-06-22,2026-06-22,-5585804,debit,PINNACLE TECH NEFT,UTR691874457344
ACC-001,2026-06-23,2026-06-23,13997257,credit,SYNERGY SOLN NEFT,
ACC-001,2026-06-23,2026-06-23,-3827879,debit,SYNERGY SOLUTIONS,
ACC-001,2026-06-23,2026-06-23,5887807,credit,BLUECHIP IND NEFT,UTR866232475190
ACC-001,2026-06-24,2026-06-24,820070,credit,NEFT BLUECHIP,UTR292856081318
ACC-001,2026-06-24,2026-06-24,-15605070,debit,NEFT VERTEX,UTR103580822352
ACC-001,2026-06-24,2026-06-24,2393815,credit,RENT PRESTIGE ESTATES,UTR587328413513
ACC-001,2026-06-24,2026-06-24,-8767903,debit,HORIZON EXPORTS,UTR976000808135
ACC-001,2026-06-25,2026-06-25,1843445,credit,QUANTUM SUPPL NEFT,UTR360924151492
ACC-001,2026-06-25,2026-06-25,8481580,credit,QUANTUM SUPPL NEFT,
ACC-001,2026-06-25,2026-06-25,10451344,credit,NORTHWIND TRD,
ACC-001,2026-06-26,2026-06-26,39032818,credit,NEFT HORIZON,UTR886814108140
ACC-001,2026-06-26,2026-06-26,5782584,credit,METRO LOGISTICS LTD,UTR928467665569
ACC-001,2026-06-27,2026-06-27,14914973,credit,NEFT APEX,UTR868618611504
ACC-001,2026-06-27,2026-06-27,-618484,debit,BLUECHIP IND NEFT,UTR981040982753
ACC-001,2026-06-28,2026-06-28,-2273080,debit,NEFT QUANTUM,UTR771915736564
ACC-001,2026-06-28,2026-06-28,-760315,debit,NEFT CREST,UTR275652171321
ACC-001,2026-06-28,2026-06-28,-4725037,debit,NEFT METRO,UTR373811796366
ACC-001,2026-06-28,2026-06-28,-5639780,debit,NEFT CREST,UTR582215724207
ACC-001,2026-06-28,2026-06-28,-1494218,debit,BOLTPARTS PVT,UTR449334805176
ACC-001,2026-06-29,2026-06-29,5988783,credit,NORTHWIND TRD,UTR548458442836
ACC-001,2026-06-29,2026-06-29,-7356500,debit,SYNERGY SOLN NEFT,UTR527006264991
ACC-001,2026-06-30,2026-06-30,-1817104,debit,NEFT CREST,
ACC-001,2026-06-30,2026-06-30,-2968797,debit,PRESTIGE ESTATES,
ACC-001,2026-07-01,2026-07-01,-1358544,debit,BLUECHIP INDS,UTR397295152191
ACC-001,2026-07-01,2026-07-01,-3389900,debit,PINNACLE TECHNOLOGIES,UTR845902132535
ACC-001,2026-07-01,2026-07-01,19844320,credit,APEX DYN NEFT,UTR686788125561
ACC-001,2026-07-01,2026-07-01,-13141208,debit,NEFT ACME CORP,UTR128617366055
ACC-001,2026-07-01,2026-07-01,-10399660,debit,BOLT PARTS NEFT,UTR458110524275
ACC-001,2026-07-02,2026-07-02,27337695,credit,HORIZON EXPTS NEFT,UTR406571012708
ACC-001,2026-07-02,2026-07-02,-939193,debit,APEX DYN NEFT,UTR695922521544
ACC-001,2026-07-02,2026-07-02,-12273302,debit,ACME CORP LTD,UTR175806791671
ACC-001,2026-07-03,2026-07-03,10399382,credit,APEX DYN NEFT,UTR238463496194
ACC-001,2026-07-03,2026-07-03,-33821874,debit,NEFT HORIZON,UTR612037258811
ACC-001,2026-07-04,2026-07-04,879050,credit,NEFT APEX,UTR217300018982
ACC-001,2026-07-04,2026-07-04,1483764,credit,VERTEX SYS NEFT,UTR516432181410
ACC-001,2026-07-04,2026-07-04,-7664632,debit,PINNACLE TECH NEFT,
ACC-001,2026-07-04,2026-07-04,45863752,credit,NEFT ZEPHYR LTD,UTR855271258456
ACC-001,2026-07-05,2026-07-05,-6034512,debit,APEX DYN NEFT,UTR174606033855
ACC-001,2026-07-05,2026-07-05,-2024286,debit,NEFT BLUECHIP,UTR218069517293
ACC-001,2026-07-11,2026-07-11,-10521682,debit,SYNERGY SOLN NEFT,UTR674382277186
ACC-001,2026-07-06,2026-07-06,1909561,credit,QUANTUM SUPPLIES,
ACC-001,2026-07-06,2026-07-06,-806914,debit,BLUECHIP IND NEFT,UTR198503450940
ACC-001,2026-07-06,2026-07-06,-7528259,debit,PRESTIGE ESTATES,UTR724766165589
ACC-001,2026-07-06,2026-07-06,-2735719,debit,VERTEX SYS NEFT,UTR334022245021
ACC-001,2026-07-07,2026-07-07,33196384,credit,NEFT APEX,UTR871359612234
ACC-001,2026-07-07,2026-07-07,-2616389,debit,PRESTIGE ESTATES,UTR638616507491
ACC-001,2026-07-07,2026-07-07,-4671733,debit,BLUECHIP INDS,UTR884458179683
ACC-001,2026-07-07,2026-07-07,27072320,credit,NEFT HORIZON,UTR436052436803
ACC-001,2026-07-08,2026-07-08,-5472355,debit,HORIZON EXPORTS,UTR920324285791
ACC-001,2026-07-08,2026-07-08,7569484,credit,BLUECHIP IND NEFT,UTR890792195524
ACC-001,2026-07-08,2026-07-08,4015657,credit,NEFT ZEPHYR LTD,UTR941602610731
ACC-001,2026-07-08,2026-07-08,13520432,credit,METRO LOGISTICS LTD,UTR937418150636
ACC-001,2026-07-09,2026-07-09,-15402781,debit,BOLTPARTS PVT NEFT,UTR294823500706
ACC-001,2026-07-09,2026-07-09,3910447,credit,PRESTIGE ESTATES,
ACC-001,2026-07-09,2026-07-09,8150340,credit,NEFT BLUECHIP,
ACC-001,2026-07-12,2026-07-12,-658573,debit,QUANTUM SUPPL NEFT,UTR626002054624
ACC-001,2026-07-10,2026-07-10,11497721,credit,SYNERGY SOLN NEFT,UTR226605882836
ACC-001,2026-07-10,2026-07-10,2076159,credit,CREST CAP NEFT,UTR263860419795
ACC-001,2026-07-10,2026-07-10,-5351813,debit,NEFT APEX,UTR374851785492
ACC-001,2026-07-10,2026-07-10,-1561028,debit,BOLTPARTS PVT NEFT,UTR674562228753
ACC-001,2026-07-10,2026-07-10,-9838863,debit,PINNACLE TECH NEFT,UTR747939482105
ACC-001,2026-07-11,2026-07-11,-52888041,debit,PRESTIGE RENT,UTR330909197611
ACC-001,2026-07-11,2026-07-11,30814793,credit,QUANTUM SUPPLIES,UTR362667560128
ACC-001,2026-07-12,2026-07-12,-8822284,debit,NW TRADERS NEFT,UTR419845838633
ACC-001,2026-07-11,2026-07-11,27835721,credit,ACME CORP NEFT,UTR179259461026
ACC-001,2026-07-11,2026-07-11,8236763,credit,QUANTUM SUPPLIES,UTR564706095026
ACC-001,2026-07-13,2026-07-13,82914988,credit,BLUECHIP INDS,UTR177920311528
ACC-001,2026-07-12,2026-07-12,4933485,credit,ACME CORP LTD,UTR582275910205
ACC-001,2026-07-13,2026-07-13,-23672216,debit,HORIZON EXPORTS,UTR400401507048
ACC-001,2026-07-13,2026-07-13,-1435140,debit,NEFT BLUECHIP,
ACC-001,2026-07-14,2026-07-14,18543995,credit,NEFT VERTEX,UTR842865751617
ACC-001,2026-07-14,2026-07-14,-4197952,debit,CREST CAP NEFT,UTR395585753511
ACC-001,2026-07-14,2026-07-14,8799515,credit,VERTEX SYS NEFT,UTR668956468715
ACC-001,2026-07-14,2026-07-14,4873675,credit,QUANTUM SUPPL NEFT,UTR640368067420
ACC-001,2026-07-15,2026-07-15,557113278,credit,NEFT HORIZON,UTR214547351220
ACC-001,2026-07-15,2026-07-15,3033504,credit,CREST CAPITAL LTD,UTR995073126883
ACC-001,2026-07-16,2026-07-16,20955845,credit,HORIZON EXPORTS,UTR545699699578
ACC-001,2026-07-16,2026-07-16,-21532594,debit,NEFT CREST,UTR157609459666
ACC-001,2026-07-17,2026-07-17,8771822,credit,BLUECHIP IND NEFT,UTR588017414546
ACC-001,2026-07-17,2026-07-17,9342392,credit,APEX DYN NEFT,UTR868287386081
ACC-001,2026-07-17,2026-07-17,18819347,credit,NEFT HORIZON,
ACC-001,2026-07-18,2026-07-18,2359159,credit,METRO LOG NEFT,UTR228475055567
ACC-001,2026-07-18,2026-07-18,-3358010,debit,NEFT HORIZON,UTR646122147534
ACC-001,2026-07-18,2026-07-18,7090282,credit,METRO LOG NEFT,UTR368316140875
ACC-001,2026-07-19,2026-07-19,3026731,credit,NEFT BLUECHIP,
ACC-001,2026-07-19,2026-07-19,-8478344,debit,METRO LOGISTICS LTD,UTR475444318886
ACC-001,2026-07-19,2026-07-19,-2726496,debit,APEX DYNAMICS PVT,
ACC-001,2026-07-19,2026-07-19,-9948560,debit,PRESTIGE ESTATES,UTR266925023221
ACC-001,2026-07-19,2026-07-19,-1626383,debit,NEFT HORIZON,UTR939889089976
ACC-001,2026-07-20,2026-07-20,-34080546,debit,HORIZON EXPTS NEFT,UTR355047917740
ACC-001,2026-07-20,2026-07-20,-641032,debit,CREST CAP NEFT,UTR622889527089
ACC-001,2026-07-20,2026-07-20,-558235,debit,METRO LOG NEFT,UTR641819166671
ACC-001,2026-07-20,2026-07-20,113879103,credit,NEFT ACME CORP,
ACC-001,2026-07-20,2026-07-20,-10669293,debit,SYNERGY SOLN NEFT,UTR114847393047
ACC-001,2026-07-21,2026-07-21,-2325081,debit,PINNACLE TECHNOLOGIES,
ACC-001,2026-07-21,2026-07-21,-12203058,debit,BOLT PARTS NEFT,UTR188690373106
ACC-001,2026-07-21,2026-07-21,8107427,credit,CREST CAP NEFT,UTR518903718101
ACC-001,2026-07-27,2026-07-27,-5636350,debit,NEFT QUANTUM,UTR357991902637
ACC-001,2026-07-22,2026-07-22,39976256,credit,BOLT PARTS NEFT,
ACC-001,2026-07-22,2026-07-22,26810421,credit,NEFT HORIZON,UTR147368967775
ACC-001,2026-07-23,2026-07-23,4482566,credit,NEFT APEX,UTR720245039395
ACC-001,2026-07-23,2026-07-23,-11401941,debit,NEFT QUANTUM,UTR770354064649
ACC-001,2026-07-28,2026-07-28,5630717,credit,CREST CAPITAL LTD,UTR607803382689
ACC-001,2026-07-23,2026-07-23,2764614,credit,NEFT QUANTUM,UTR614556980960
ACC-001,2026-07-24,2026-07-24,-43603132,debit,QUANTUM SUPPL NEFT,
ACC-001,2026-07-24,2026-07-24,-14706587,debit,PRESTIGE ESTATES,UTR599290370034
ACC-001,2026-07-24,2026-07-24,104987002,credit,CREST CAPITAL LTD,UTR728703172393
ACC-001,2026-07-24,2026-07-24,-4961587,debit,NEFT SYNERGY,
ACC-001,2026-07-25,2026-07-25,-3230703,debit,NEFT ACME CORP,UTR957643978300
ACC-001,2026-07-25,2026-07-25,-2554552,debit,NEFT METRO,
ACC-001,2026-07-25,2026-07-25,-9836859,debit,NEFT METRO,UTR983075619976
ACC-001,2026-07-25,2026-07-25,5722473,credit,NEFT SYNERGY,UTR844105776108
ACC-001,2026-07-26,2026-07-26,7890578,credit,QUANTUM SUPPL NEFT,UTR735798459372
ACC-001,2026-07-26,2026-07-26,-4078843,debit,NEFT SYNERGY,UTR457749775324
ACC-001,2026-07-26,2026-07-26,18996041,credit,METRO LOG NEFT,
ACC-001,2026-07-27,2026-07-27,-26668664,debit,NEFT BLUECHIP,UTR379879587162
ACC-001,2026-07-27,2026-07-27,-11339674,debit,NEFT CREST,
ACC-001,2026-07-27,2026-07-27,8152648,credit,NEFT APEX,
ACC-001,2026-07-27,2026-07-27,-6288182,debit,NORTHWIND TRD,UTR984100740545
ACC-001,2026-07-28,2026-07-28,-22061817,debit,BOLTPARTS PVT NEFT,UTR235448546713
ACC-001,2026-07-28,2026-07-28,9942056,credit,NEFT HORIZON,UTR217559584131
ACC-001,2026-07-29,2026-07-29,3923030,credit,QUANTUM SUPPLIES,UTR458893511908
ACC-001,2026-07-28,2026-07-28,78631112,credit,VERTEX SYS NEFT,
ACC-001,2026-07-29,2026-07-29,23752177,credit,QUANTUM SUPPL NEFT,UTR142718868029
ACC-001,2026-07-29,2026-07-29,-8626149,debit,PRESTIGE ESTATES,UTR599885427457
ACC-001,2026-07-29,2026-07-29,-8142555,debit,SYNERGY SOLUTIONS,UTR696768414616
ACC-002,2026-05-31,2026-05-31,-8970483,debit,VERTEX SYS NEFT,UTR776411594991
ACC-002,2026-05-31,2026-05-31,-11751542,debit,PINNACLE TECH NEFT,UTR506691658703
ACC-002,2026-05-31,2026-05-31,94608701,credit,ZEPHYR NEFT,UTR506671900140
ACC-002,2026-05-31,2026-05-31,-2740649,debit,NEFT BLUECHIP,UTR534051757557
ACC-002,2026-05-31,2026-05-31,53456247,credit,PRESTIGE ESTATES,UTR334774804042
ACC-002,2026-06-01,2026-06-01,-19246852,debit,ACME CORP LTD,UTR963829265445
ACC-002,2026-06-01,2026-06-01,20819875,credit,VERTEX SYSTEMS LTD,UTR461777974575
ACC-002,2026-06-02,2026-06-02,-1640213,debit,APEX DYN NEFT,UTR693263798805
ACC-002,2026-06-02,2026-06-02,-23480201,debit,PRESTIGE ESTATES,UTR969122032652
ACC-002,2026-06-02,2026-06-02,46367937,credit,APEX DYN NEFT,UTR388511190574
ACC-002,2026-06-03,2026-06-03,-977126,debit,NORTHWIND TRD,UTR498478548963
ACC-002,2026-06-03,2026-06-03,-3816890,debit,BLUECHIP INDS,UTR149886504030
ACC-002,2026-06-04,2026-06-04,-174677127,debit,NEFT HORIZON,
ACC-002,2026-06-04,2026-06-04,-10114472,debit,PINNACLE TECHNOLOGIES,UTR589238439747
ACC-002,2026-06-04,2026-06-04,-3901562,debit,BOLTPARTS PVT,UTR798466125177
ACC-002,2026-06-04,2026-06-04,-8322267,debit,NEFT VERTEX,UTR757106922666
ACC-002,2026-06-05,2026-06-05,-1002331,debit,HORIZON EXPORTS,UTR815776541878
ACC-002,2026-06-05,2026-06-05,-10625206,debit,APEX DYN NEFT,
ACC-002,2026-06-05,2026-06-05,-5736975,debit,NEFT PINNACLE,UTR900650578998
ACC-002,2026-06-08,2026-06-08,29501224,credit,BOLT PARTS NEFT,UTR509116636460
ACC-002,2026-06-06,2026-06-06,-27998200,debit,QUANTUM SUPPL NEFT,UTR916458527301
ACC-002,2026-06-06,2026-06-06,25284570,credit,NEFT METRO,UTR744502710739
ACC-002,2026-06-06,2026-06-06,-3082573,debit,BLUECHIP INDS,
ACC-002,2026-06-07,2026-06-07,-2029991,debit,CREST CAP NEFT,UTR758365355182
ACC-002,2026-06-07,2026-06-07,4807094,credit,PRESTIGE ESTATES,UTR482716883762
ACC-002,2026-06-07,2026-06-07,-3611720,debit,CREST CAPITAL LTD,UTR728261666589
ACC-002,2026-06-07,2026-06-07,-22980146,debit,ZEPHYR NEFT,
ACC-002,2026-06-07,2026-06-07,-532530,debit,VERTEX SYSTEMS LTD,UTR395036212198
ACC-002,2026-06-08,2026-06-08,12347706,credit,NW TRADERS NEFT,UTR719090551088
ACC-002,2026-06-08,2026-06-08,672613,credit,QUANTUM SUPPLIES,UTR198915919054
ACC-002,2026-06-09,2026-06-09,5359954,credit,PINNACLE TECH NEFT,UTR755272824750
ACC-002,2026-06-09,2026-06-09,-11226081,debit,BOLTPARTS PVT NEFT,UTR781845110195
ACC-002,2026-06-11,2026-06-11,-4077816,debit,ACME CORP LTD,UTR557165098695
ACC-002,2026-06-10,2026-06-10,-21499504,debit,ZEPHYR LTD NEFT,UTR222105549288
ACC-002,2026-06-10,2026-06-10,-1803054,debit,RENT PRESTIGE ESTATES,UTR534738816383
ACC-002,2026-06-10,2026-06-10,4444208,credit,VERTEX SYS NEFT,UTR335988370017
ACC-002,2026-06-12,2026-06-12,9635730,credit,APEX DYN NEFT,UTR575654803776
ACC-002,2026-06-11,2026-06-11,29140698,credit,NEFT NORTHWIND TRADERS,UTR716328933739
ACC-002,2026-06-11,2026-06-11,-2710298,debit,CREST CAP NEFT,UTR119053418099
ACC-002,2026-06-11,2026-06-11,-11106168,debit,NEFT HORIZON,
ACC-002,2026-06-12,2026-06-12,5316585,credit,VERTEX SYS NEFT,UTR460632081634
ACC-002,2026-06-12,2026-06-12,-2642963,debit,NW TRADERS NEFT,UTR859487768166
ACC-002,2026-06-12,2026-06-12,16508201,credit,NEFT SYNERGY,UTR188149747921
ACC-002,2026-06-12,2026-06-12,-2692492,debit,PINNACLE TECH NEFT,UTR466023864910
ACC-002,2026-06-12,2026-06-12,5547663,credit,APEX DYNAMICS PVT,UTR954294433114
ACC-002,2026-06-13,2026-06-13,-4840650,debit,SYNERGY SOLN NEFT,
ACC-002,2026-06-13,2026-06-13,20893987,credit,CREST CAPITAL LTD,UTR933880226158
ACC-002,2026-06-13,2026-06-13,-7943308,debit,NEFT APEX,UTR790514124625
ACC-002,2026-06-13,2026-06-13,-1487867,debit,NEFT HORIZON,UTR722263658623
ACC-002,2026-06-14,2026-06-14,-2993109,debit,CREST CAPITAL LTD,UTR174903210971
ACC-002,2026-06-14,2026-06-14,7309996,credit,HORIZON EXPTS NEFT,UTR179488406665
ACC-002,2026-06-14,2026-06-14,-10666643,debit,RENT PRESTIGE ESTATES,UTR182837365101
ACC-002,2026-06-14,2026-06-14,-11684889,debit,NEFT QUANTUM,UTR737642491247
ACC-002,2026-06-15,2026-06-15,-1680769,debit,HORIZON EXPORTS,UTR452995800627
ACC-002,2026-06-15,2026-06-15,-6159221,debit,NEFT VERTEX,UTR193262275159
ACC-002,2026-06-16,2026-06-16,14167124,credit,ACME CORP NEFT,UTR677412919889
ACC-002,2026-06-16,2026-06-16,-1152889,debit,NEFT BLUECHIP,UTR472693488384
ACC-002,2026-06-16,2026-06-16,-27032120,debit,NEFT QUANTUM,UTR467852375490
ACC-002,2026-06-17,2026-06-17,6526021,credit,SYNERGY SOLUTIONS,UTR765317675836
ACC-002,2026-06-17,2026-06-17,4133319,credit,NEFT CREST,UTR257469014953
ACC-002,2026-06-18,2026-06-18,-3640585,debit,RENT PRESTIGE ESTATES,UTR194223002002
ACC-002,2026-06-18,2026-06-18,-1942038,debit,PRESTIGE ESTATES,UTR994763993623
ACC-002,2026-06-18,2026-06-18,-10906857,debit,NW TRADERS NEFT,UTR201045089995
ACC-002,2026-06-18,2026-06-18,-1183481,debit,QUANTUM SUPPLIES,UTR495215290807
ACC-002,2026-06-23,2026-06-23,-1974607,debit,NW TRADERS NEFT,UTR254618722248
ACC-002,2026-06-19,2026-06-19,55578852,credit,NORTHWIND TRD,
ACC-002,2026-06-19,2026-06-19,-1022352,debit,BOLTPARTS PVT NEFT,UTR472210151899
ACC-002,2026-06-19,2026-06-19,-3334479,debit,NEFT APEX,UTR276756169705
ACC-002,2026-06-20,2026-06-20,-1084023,debit,CREST CAP NEFT,UTR551159223644
ACC-002,2026-06-20,2026-06-20,-1089433,debit,SYNERGY SOLN NEFT,UTR771922717098
ACC-002,2026-06-20,2026-06-20,-5831911,debit,PRESTIGE ESTATES,UTR993205436233
ACC-002,2026-06-21,2026-06-21,4246359,credit,CREST CAPITAL LTD,UTR608698492376
ACC-002,2026-06-21,2026-06-21,3386266,credit,APEX DYNAMICS PVT,
ACC-002,2026-06-21,2026-06-21,26997454,credit,CREST CAP NEFT,UTR378627421655
ACC-002,2026-06-21,2026-06-21,-12227458,debit,NEFT ACME CORP,UTR670568762733
ACC-002,2026-06-21,2026-06-21,3378781,credit,CREST CAPITAL LTD,UTR397041279675
ACC-002,2026-06-22,2026-06-22,684292,credit,BLUECHIP IND NEFT,UTR555381080979
ACC-002,2026-06-22,2026-06-22,30387421,credit,ACME CORP LTD,UTR508372385804
ACC-002,2026-06-22,2026-06-22,80111509,credit,ZEPHYR NEFT,UTR262312743925
ACC-002,2026-06-22,2026-06-22,3805988,credit,NORTHWIND TRD,
ACC-002,2026-06-22,2026-06-22,-13671277,debit,NEFT HORIZON,UTR117520141303
ACC-002,2026-06-23,2026-06-23,-16555258,debit,NEFT ZEPHYR LTD,UTR768843380505
ACC-002,2026-06-23,2026-06-23,11557120,credit,NEFT BLUECHIP,UTR560585590540
ACC-002,2026-06-23,2026-06-23,-2417448,debit,QUANTUM SUPPLIES,UTR649348422854
ACC-002,2026-06-23,2026-06-23,-2066075,debit,NEFT VERTEX,UTR569402438924
ACC-002,2026-06-24,2026-06-24,3142600,credit,VERTEX SYSTEMS LTD,UTR830948947428
ACC-002,2026-06-24,2026-06-24,15582537,credit,QUANTUM SUPPLIES,UTR965467382366
ACC-002,2026-06-25,2026-06-25,-4711800,debit,NEFT PINNACLE,UTR376481228502
ACC-002,2026-06-25,2026-06-25,13107323,credit,METRO LOG NEFT,UTR214367492808
ACC-002,2026-06-26,2026-06-26,3425493,credit,NEFT NORTHWIND TRADERS,UTR807868630522
ACC-002,2026-06-26,2026-06-26,-1628221,debit,NORTHWIND TRD,UTR989841108290
ACC-002,2026-06-26,2026-06-26,453085,credit,NORTHWIND TRD,UTR140620424485
ACC-002,2026-06-26,2026-06-26,18936835,credit,RENT PRESTIGE ESTATES,UTR663972481559
ACC-002,2026-06-27,2026-06-27,-667250,debit,CREST CAPITAL LTD,UTR811904963699
ACC-002,2026-06-27,2026-06-27,12754297,credit,ZEPHYR NEFT,UTR234317442585
ACC-002,2026-06-27,2026-06-27,7511412,credit,APEX DYNAMICS PVT,
ACC-002,2026-06-27,2026-06-27,28617539,credit,METRO LOGISTICS LTD,UTR648433258112
ACC-002,2026-06-28,2026-06-28,21312372,credit,BOLTPARTS PVT NEFT,UTR186340000596
ACC-002,2026-06-28,2026-06-28,-4903799,debit,NEFT SYNERGY,UTR888567255357
ACC-002,2026-06-28,2026-06-28,2934236,credit,NEFT PINNACLE,UTR490462379884
