account_id,txn_date,amount_paise,direction,description,reference,counterparty
ACC-001,2026-06-15,9375296,credit,Payment from Bluechip Industries,UTR486260407870,Bluechip Industries
ACC-001,2026-06-16,34732285,credit,Payment from Zephyr Ltd,UTR989003396697,Zephyr Ltd
ACC-001,2026-06-16,-24394047,debit,Quantum Supplies payment,UTR428799513174,Quantum Supplies
ACC-001,2026-06-17,45750887,credit,Payment from Northwind Traders,UTR762635097563,Northwind Traders
ACC-001,2026-06-17,-1745899,debit,Zephyr Ltd payment,UTR655184583398,Zephyr Ltd
ACC-001,2026-06-18,-6419392,debit,Prestige Estates payment,UTR148432972787,Prestige Estates
ACC-001,2026-06-18,6474465,credit,Payment from Acme Corp Ltd,UTR391971008994,Acme Corp Ltd
ACC-001,2026-06-18,-1837073,debit,Northwind Traders payment,UTR859707157168,Northwind Traders
ACC-001,2026-06-18,-3569334,debit,Northwind Traders payment,,Northwind Traders
ACC-001,2026-06-18,-3838552,debit,Vertex Systems payment,UTR975885943559,Vertex Systems
ACC-001,2026-06-19,11615876,credit,Payment from Synergy Solutions,UTR486988551875,Synergy Solutions
ACC-001,2026-06-19,-33607904,debit,Apex Dynamics payment,UTR992493718889,Apex Dynamics
ACC-001,2026-06-20,1007959,credit,Payment from Pinnacle Tech,UTR960420184902,Pinnacle Tech
ACC-001,2026-06-20,-16577293,debit,Pinnacle Tech payment,UTR872180893759,Pinnacle Tech
ACC-001,2026-06-20,1918733,credit,Payment from BoltParts Pvt,UTR342539766821,BoltParts Pvt
ACC-001,2026-06-21,-1687388,debit,Crest Capital payment,,Crest Capital
ACC-001,2026-06-21,60632403,credit,Payment from Zephyr Ltd,UTR406352552364,Zephyr Ltd
ACC-001,2026-06-21,11770374,credit,Payment from Crest Capital,UTR692034016653,Crest Capital
ACC-001,2026-06-22,3314893,credit,Payment from Acme Corp Ltd,,Acme Corp Ltd
ACC-001,2026-06-22,-6601267,debit,Northwind Traders payment,UTR900348631876,Northwind Traders
ACC-001,2026-06-22,9660105,credit,Payment from Apex Dynamics,UTR226750596909,Apex Dynamics
ACC-001,2026-06-22,-5585804,debit,Pinnacle Tech payment,UTR691874457344,Pinnacle Tech
ACC-001,2026-06-23,13997257,credit,Payment from Synergy Solutions,,Synergy Solutions
ACC-001,2026-06-23,-3827879,debit,Synergy Solutions payment,,Synergy Solutions
ACC-001,2026-06-23,5887807,credit,Payment from Bluechip Industries,UTR866232475190,Bluechip Industries
ACC-001,2026-06-24,820070,credit,Payment from Bluechip Industries,UTR292856081318,Bluechip Industries
ACC-001,2026-06-24,-15605070,debit,Vertex Systems payment,UTR103580822352,Vertex Systems
ACC-001,2026-06-24,2393815,credit,Payment from Prestige Estates,UTR587328413513,Prestige Estates
ACC-001,2026-06-24,-8767903,debit,Horizon Exports payment,UTR976000808135,Horizon Exports
ACC-001,2026-06-25,1843445,credit,Payment from Quantum Supplies,UTR360924151492,Quantum Supplies
ACC-001,2026-06-25,8481580,credit,Payment from Quantum Supplies,,Quantum Supplies
ACC-001,2026-06-25,10451344,credit,Payment from Northwind Traders,,Northwind Traders
ACC-001,2026-06-26,39032818,credit,Payment from Horizon Exports,UTR886814108140,Horizon Exports
ACC-001,2026-06-26,5782584,credit,Payment from Metro Logistics,UTR928467665569,Metro Logistics
ACC-001,2026-06-27,14914973,credit,Payment from Apex Dynamics,UTR868618611504,Apex Dynamics
ACC-001,2026-06-27,-618484,debit,Bluechip Industries payment,UTR981040982753,Bluechip Industries
ACC-001,2026-06-28,-2273080,debit,Quantum Supplies payment,UTR771915736564,Quantum Supplies
ACC-001,2026-06-28,-760315,debit,Crest Capital payment,UTR275652171321,Crest Capital
ACC-001,2026-06-28,-4725037,debit,Metro Logistics payment,UTR373811796366,Metro Logistics
ACC-001,2026-06-28,-5639780,debit,Crest Capital payment,UTR582215724207,Crest Capital
ACC-001,2026-06-28,-1494218,debit,BoltParts Pvt payment,UTR449334805176,BoltParts Pvt
ACC-001,2026-06-29,5988783,credit,Payment from Northwind Traders,UTR548458442836,Northwind Traders
ACC-001,2026-06-29,-7356500,debit,Synergy Solutions payment,UTR527006264991,Synergy Solutions
ACC-001,2026-06-30,-1817104,debit,Crest Capital payment,,Crest Capital
ACC-001,2026-06-30,-2968797,debit,Prestige Estates payment,,Prestige Estates
ACC-001,2026-07-01,-1358544,debit,Bluechip Industries payment,UTR397295152191,Bluechip Industries
ACC-001,2026-07-01,-3389900,debit,Pinnacle Tech payment,UTR845902132535,Pinnacle Tech
ACC-001,2026-07-01,19844320,credit,Payment from Apex Dynamics,UTR686788125561,Apex Dynamics
ACC-001,2026-07-01,-13141208,debit,Acme Corp Ltd payment,UTR128617366055,Acme Corp Ltd
ACC-001,2026-07-01,-10399660,debit,BoltParts Pvt payment,UTR458110524275,BoltParts Pvt
ACC-001,2026-07-02,27337695,credit,Payment from Horizon Exports,UTR406571012708,Horizon Exports
ACC-001,2026-07-02,-939193,debit,Apex Dynamics payment,UTR695922521544,Apex Dynamics
ACC-001,2026-07-02,-12273302,debit,Acme Corp Ltd payment,UTR175806791671,Acme Corp Ltd
ACC-001,2026-07-03,10399382,credit,Payment from Apex Dynamics,UTR238463496194,Apex Dynamics
ACC-001,2026-07-03,-33821874,debit,Horizon Exports payment,UTR612037258811,Horizon Exports
ACC-001,2026-07-04,879050,credit,Payment from Apex Dynamics,UTR217300018982,Apex Dynamics
ACC-001,2026-07-04,1483764,credit,Payment from Vertex Systems,UTR516432181410,Vertex Systems
ACC-001,2026-07-04,-7664632,debit,Pinnacle Tech payment,,Pinnacle Tech
ACC-001,2026-07-04,45863752,credit,Payment from Zephyr Ltd,UTR855271258456,Zephyr Ltd
ACC-001,2026-07-05,-6034512,debit,Apex Dynamics payment,UTR174606033855,Apex Dynamics
ACC-001,2026-07-05,-2024286,debit,Bluechip Industries payment,UTR218069517293,Bluechip Industries
ACC-001,2026-07-06,-10521682,debit,Synergy Solutions payment,UTR674382277186,Synergy Solutions
ACC-001,2026-07-06,1909561,credit,Payment from Quantum Supplies,,Quantum Supplies
ACC-001,2026-07-06,-806914,debit,Bluechip Industries payment,UTR198503450940,Bluechip Industries
ACC-001,2026-07-06,-7528259,debit,Prestige Estates payment,UTR724766165589,Prestige Estates
ACC-001,2026-07-06,-2735202,debit,Vertex Systems payment,UTR334022245021,Vertex Systems
ACC-001,2026-07-07,33196384,credit,Payment from Apex Dynamics,UTR871359612234,Apex Dynamics
ACC-001,2026-07-07,-2616389,debit,Prestige Estates payment,UTR638616507491,Prestige Estates
ACC-001,2026-07-07,-4671733,debit,Bluechip Industries payment,UTR884458179683,Bluechip Industries
ACC-001,2026-07-07,27072320,credit,Payment from Horizon Exports,UTR436052436803,Horizon Exports
ACC-001,2026-07-08,-5472355,debit,Horizon Exports payment,UTR920324285791,Horizon Exports
ACC-001,2026-07-08,7569484,credit,Payment from Bluechip Industries,UTR890792195524,Bluechip Industries
ACC-001,2026-07-08,4015657,credit,Payment from Zephyr Ltd,UTR941602610731,Zephyr Ltd
ACC-001,2026-07-08,13357340,credit,Payment from Metro Logistics,UTR937418150636,Metro Logistics
ACC-001,2026-07-09,-15402781,debit,BoltParts Pvt payment,UTR294823500706,BoltParts Pvt
ACC-001,2026-07-09,3910447,credit,Payment from Prestige Estates,,Prestige Estates
ACC-001,2026-07-09,8150340,credit,Payment from Bluechip Industries,,Bluechip Industries
ACC-001,2026-07-09,-658573,debit,Quantum Supplies payment,UTR626002054624,Quantum Supplies
ACC-001,2026-07-10,11497721,credit,Payment from Synergy Solutions,UTR226605882836,Synergy Solutions
ACC-001,2026-07-10,2076159,credit,Payment from Crest Capital,UTR263860419795,Crest Capital
ACC-001,2026-07-10,-5351813,debit,Apex Dynamics payment,UTR374851785492,Apex Dynamics
ACC-001,2026-07-10,-1561028,debit,BoltParts Pvt payment,UTR674562228753,BoltParts Pvt
ACC-001,2026-07-10,-9838863,debit,Pinnacle Tech payment,UTR747939482105,Pinnacle Tech
ACC-001,2026-07-11,-52888041,debit,Prestige Estates payment,UTR330909197611,Prestige Estates
ACC-001,2026-07-11,30814793,credit,Payment from Quantum Supplies,UTR362667560128,Quantum Supplies
ACC-001,2026-07-11,-8822284,debit,Northwind Traders payment,UTR419845838633,Northwind Traders
ACC-001,2026-07-11,27835721,credit,Payment from Acme Corp Ltd,UTR179259461026,Acme Corp Ltd
ACC-001,2026-07-11,8236763,credit,Payment from Quantum Supplies,UTR564706095026,Quantum Supplies
ACC-001,2026-07-12,82914988,credit,Payment from Bluechip Industries,UTR177920311528,Bluechip Industries
ACC-001,2026-07-12,4933485,credit,Payment from Acme Corp Ltd,UTR582275910205,Acme Corp Ltd
ACC-001,2026-07-13,-23672216,debit,Horizon Exports payment,UTR400401507048,Horizon Exports
ACC-001,2026-07-13,-1435140,debit,Bluechip Industries payment,,Bluechip Industries
ACC-001,2026-07-14,18543995,credit,Payment from Vertex Systems,UTR842865751617,Vertex Systems
ACC-001,2026-07-14,-4197952,debit,Crest Capital payment,UTR395585753511,Crest Capital
ACC-001,2026-07-14,8799515,credit,Payment from Vertex Systems,UTR668956468715,Vertex Systems
ACC-001,2026-07-14,4873675,credit,Payment from Quantum Supplies,UTR640368067420,Quantum Supplies
ACC-001,2026-07-15,557113278,credit,Payment from Horizon Exports,UTR214547351220,Horizon Exports
ACC-001,2026-07-15,3033504,credit,Payment from Crest Capital,UTR995073126883,Crest Capital
ACC-001,2026-07-16,20955845,credit,Payment from Horizon Exports,UTR545699699578,Horizon Exports
ACC-001,2026-07-16,-21532594,debit,Crest Capital payment,UTR157609459666,Crest Capital
ACC-001,2026-07-17,8771822,credit,Payment from Bluechip Industries,UTR588017414546,Bluechip Industries
ACC-001,2026-07-17,9342392,credit,Payment from Apex Dynamics,UTR868287386081,Apex Dynamics
ACC-001,2026-07-17,18819347,credit,Payment from Horizon Exports,,Horizon Exports
ACC-001,2026-07-18,2359159,credit,Payment from Metro Logistics,UTR228475055567,Metro Logistics
ACC-001,2026-07-18,-3358010,debit,Horizon Exports payment,UTR646122147534,Horizon Exports
ACC-001,2026-07-18,7090282,credit,Payment from Metro Logistics,UTR368316140875,Metro Logistics
ACC-001,2026-07-19,3026731,credit,Payment from Bluechip Industries,UTR660920055648,Bluechip Industries
ACC-001,2026-07-19,-8478344,debit,Metro Logistics payment,UTR475444318886,Metro Logistics
ACC-001,2026-07-19,-2726496,debit,Apex Dynamics payment,,Apex Dynamics
ACC-001,2026-07-19,-9948560,debit,Prestige Estates payment,UTR266925023221,Prestige Estates
ACC-001,2026-07-19,-1626383,debit,Horizon Exports payment,UTR939889089976,Horizon Exports
ACC-001,2026-07-20,-34080546,debit,Horizon Exports payment,UTR355047917740,Horizon Exports
ACC-001,2026-07-20,-641032,debit,Crest Capital payment,UTR622889527089,Crest Capital
ACC-001,2026-07-20,-558235,debit,Metro Logistics payment,UTR641819166671,Metro Logistics
ACC-001,2026-07-20,113879103,credit,Payment from Acme Corp Ltd,,Acme Corp Ltd
ACC-001,2026-07-20,-10669293,debit,Synergy Solutions payment,UTR114847393047,Synergy Solutions
ACC-001,2026-07-21,-2325081,debit,Pinnacle Tech payment,,Pinnacle Tech
ACC-001,2026-07-21,-12203058,debit,BoltParts Pvt payment,UTR188690373106,BoltParts Pvt
ACC-001,2026-07-21,8107427,credit,Payment from Crest Capital,UTR518903718101,Crest Capital
ACC-001,2026-07-22,-5636350,debit,Quantum Supplies payment,UTR357991902637,Quantum Supplies
ACC-001,2026-07-22,-659567,debit,Quantum Supplies payment,UTR921315799665,Quantum Supplies
ACC-001,2026-07-22,39976256,credit,Payment from BoltParts Pvt,,BoltParts Pvt
ACC-001,2026-07-22,26810421,credit,Payment from Horizon Exports,UTR147368967775,Horizon Exports
ACC-001,2026-07-23,4482566,credit,Payment from Apex Dynamics,UTR720245039395,Apex Dynamics
ACC-001,2026-07-23,-11401941,debit,Quantum Supplies payment,UTR770354064649,Quantum Supplies
ACC-001,2026-07-23,5630717,credit,Payment from Crest Capital,UTR607803382689,Crest Capital
ACC-001,2026-07-23,2764614,credit,Payment from Quantum Supplies,UTR614556980960,Quantum Supplies
ACC-001,2026-07-24,-43154190,debit,Quantum Supplies payment,,Quantum Supplies
ACC-001,2026-07-24,-14706587,debit,Prestige Estates payment,UTR599290370034,Prestige Estates
ACC-001,2026-07-24,104987002,credit,Payment from Crest Capital,UTR728703172393,Crest Capital
ACC-001,2026-07-24,-4961587,debit,Synergy Solutions payment,,Synergy Solutions
ACC-001,2026-07-25,-3230703,debit,Acme Corp Ltd payment,UTR957643978300,Acme Corp Ltd
ACC-001,2026-07-25,-2554552,debit,Metro Logistics payment,,Metro Logistics
ACC-001,2026-07-25,-9836859,debit,Metro Logistics payment,UTR983075619976,Metro Logistics
ACC-001,2026-07-25,5722473,credit,Payment from Synergy Solutions,UTR844105776108,Synergy Solutions
ACC-001,2026-07-26,7890578,credit,Payment from Quantum Supplies,UTR735798459372,Quantum Supplies
ACC-001,2026-07-26,-4078843,debit,Synergy Solutions payment,UTR457749775324,Synergy Solutions
ACC-001,2026-07-26,18996041,credit,Payment from Metro Logistics,,Metro Logistics
ACC-001,2026-07-27,-26668664,debit,Bluechip Industries payment,UTR379879587162,Bluechip Industries
ACC-001,2026-07-27,-11339674,debit,Crest Capital payment,,Crest Capital
ACC-001,2026-07-27,8152648,credit,Payment from Apex Dynamics,,Apex Dynamics
ACC-001,2026-07-27,-6288182,debit,Northwind Traders payment,UTR984100740545,Northwind Traders
ACC-001,2026-07-28,-22061817,debit,BoltParts Pvt payment,UTR235448546713,BoltParts Pvt
ACC-001,2026-07-28,9942056,credit,Payment from Horizon Exports,UTR217559584131,Horizon Exports
ACC-001,2026-07-28,3923030,credit,Payment from Quantum Supplies,UTR458893511908,Quantum Supplies
ACC-001,2026-07-28,78631112,credit,Payment from Vertex Systems,,Vertex Systems
ACC-001,2026-07-29,23752177,credit,Payment from Quantum Supplies,UTR142718868029,Quantum Supplies
ACC-001,2026-07-29,-8626149,debit,Prestige Estates payment,UTR599885427457,Prestige Estates
ACC-001,2026-07-29,-8142555,debit,Synergy Solutions payment,UTR696768414616,Synergy Solutions
ACC-002,2026-05-31,-8970483,debit,Vertex Systems payment,UTR776411594991,Vertex Systems
ACC-002,2026-05-31,-11751542,debit,Pinnacle Tech payment,UTR506691658703,Pinnacle Tech
ACC-002,2026-05-31,94608701,credit,Payment from Zephyr Ltd,UTR506671900140,Zephyr Ltd
ACC-002,2026-05-31,-2740649,debit,Bluechip Industries payment,UTR534051757557,Bluechip Industries
ACC-002,2026-05-31,53456247,credit,Payment from Prestige Estates,UTR334774804042,Prestige Estates
ACC-002,2026-06-01,-19246852,debit,Acme Corp Ltd payment,UTR963829265445,Acme Corp Ltd
ACC-002,2026-06-01,20819875,credit,Payment from Vertex Systems,UTR461777974575,Vertex Systems
ACC-002,2026-06-02,-1640213,debit,Apex Dynamics payment,UTR693263798805,Apex Dynamics
ACC-002,2026-06-02,-23480201,debit,Prestige Estates payment,UTR969122032652,Prestige Estates
ACC-002,2026-06-02,46367937,credit,Payment from Apex Dynamics,UTR388511190574,Apex Dynamics
ACC-002,2026-06-03,-977126,debit,Northwind Traders payment,UTR498478548963,Northwind Traders
ACC-002,2026-06-03,-3816890,debit,Bluechip Industries payment,UTR149886504030,Bluechip Industries
ACC-002,2026-06-04,-174677127,debit,Horizon Exports payment,,Horizon Exports
ACC-002,2026-06-04,-10114472,debit,Pinnacle Tech payment,UTR589238439747,Pinnacle Tech
ACC-002,2026-06-04,-3901562,debit,BoltParts Pvt payment,UTR798466125177,BoltParts Pvt
ACC-002,2026-06-04,-8322267,debit,Vertex Systems payment,UTR757106922666,Vertex Systems
ACC-002,2026-06-05,-1002331,debit,Horizon Exports payment,UTR815776541878,Horizon Exports
ACC-002,2026-06-05,-10625206,debit,Apex Dynamics payment,,Apex Dynamics
ACC-002,2026-06-05,-5651996,debit,Pinnacle Tech payment,UTR900650578998,Pinnacle Tech
ACC-002,2026-06-05,29501224,credit,Payment from BoltParts Pvt,UTR509116636460,BoltParts Pvt
ACC-002,2026-06-06,-27995149,debit,Quantum Supplies payment,UTR916458527301,Quantum Supplies
ACC-002,2026-06-06,25284570,credit,Payment from Metro Logistics,UTR744502710739,Metro Logistics
ACC-002,2026-06-06,-3046469,debit,Bluechip Industries payment,,Bluechip Industries
ACC-002,2026-06-07,-2029991,debit,Crest Capital payment,UTR758365355182,Crest Capital
ACC-002,2026-06-07,4807094,credit,Payment from Prestige Estates,UTR482716883762,Prestige Estates
ACC-002,2026-06-07,-3611720,debit,Crest Capital payment,UTR728261666589,Crest Capital
ACC-002,2026-06-07,-22980146,debit,Zephyr Ltd payment,,Zephyr Ltd
ACC-002,2026-06-07,-532530,debit,Vertex Systems payment,UTR395036212198,Vertex Systems
ACC-002,2026-06-08,12347706,credit,Payment from Northwind Traders,UTR719090551088,Northwind Traders
ACC-002,2026-06-08,672613,credit,Payment from Quantum Supplies,UTR198915919054,Quantum Supplies
ACC-002,2026-06-09,5359954,credit,Payment from Pinnacle Tech,UTR755272824750,Pinnacle Tech
ACC-002,2026-06-09,-11226081,debit,BoltParts Pvt payment,UTR781845110195,BoltParts Pvt
ACC-002,2026-06-09,-4077816,debit,Acme Corp Ltd payment,UTR557165098695,Acme Corp Ltd
ACC-002,2026-06-10,-21499504,debit,Zephyr Ltd payment,UTR222105549288,Zephyr Ltd
ACC-002,2026-06-10,-1803054,debit,Prestige Estates payment,UTR534738816383,Prestige Estates
ACC-002,2026-06-10,4444208,credit,Payment from Vertex Systems,UTR335988370017,Vertex Systems
ACC-002,2026-06-10,9635730,credit,Payment from Apex Dynamics,UTR575654803776,Apex Dynamics
ACC-002,2026-06-11,29140698,credit,Payment from Northwind Traders,UTR716328933739,Northwind Traders
ACC-002,2026-06-11,-2710298,debit,Crest Capital payment,UTR119053418099,Crest Capital
ACC-002,2026-06-11,-11106168,debit,Horizon Exports payment,,Horizon Exports
ACC-002,2026-06-12,5316585,credit,Payment from Vertex Systems,UTR460632081634,Vertex Systems
ACC-002,2026-06-12,-2642963,debit,Northwind Traders payment,UTR859487768166,Northwind Traders
ACC-002,2026-06-12,16508201,credit,Payment from Synergy Solutions,UTR188149747921,Synergy Solutions
ACC-002,2026-06-12,-2692492,debit,Pinnacle Tech payment,UTR466023864910,Pinnacle Tech
ACC-002,2026-06-12,5547663,credit,Payment from Apex Dynamics,UTR954294433114,Apex Dynamics
ACC-002,2026-06-13,-4840650,debit,Synergy Solutions payment,,Synergy Solutions
ACC-002,2026-06-13,20893987,credit,Payment from Crest Capital,UTR933880226158,Crest Capital
ACC-002,2026-06-13,-7943308,debit,Apex Dynamics payment,UTR790514124625,Apex Dynamics
ACC-002,2026-06-13,-1487867,debit,Horizon Exports payment,UTR722263658623,Horizon Exports
ACC-002,2026-06-14,-2993109,debit,Crest Capital payment,UTR174903210971,Crest Capital
ACC-002,2026-06-14,7309996,credit,Payment from Horizon Exports,UTR179488406665,Horizon Exports
ACC-002,2026-06-14,-10666643,debit,Prestige Estates payment,UTR182837365101,Prestige Estates
ACC-002,2026-06-14,-11684889,debit,Quantum Supplies payment,UTR737642491247,Quantum Supplies
ACC-002,2026-06-15,-1680769,debit,Horizon Exports payment,UTR452995800627,Horizon Exports
ACC-002,2026-06-15,-6159221,debit,Vertex Systems payment,UTR193262275159,Vertex Systems
ACC-002,2026-06-16,14167124,credit,Payment from Acme Corp Ltd,UTR677412919889,Acme Corp Ltd
ACC-002,2026-06-16,-1152889,debit,Bluechip Industries payment,UTR472693488384,Bluechip Industries
ACC-002,2026-06-16,-27032120,debit,Quantum Supplies payment,UTR467852375490,Quantum Supplies
ACC-002,2026-06-17,6526021,credit,Payment from Synergy Solutions,UTR765317675836,Synergy Solutions
ACC-002,2026-06-17,4133319,credit,Payment from Crest Capital,UTR257469014953,Crest Capital
ACC-002,2026-06-18,-3640585,debit,Prestige Estates payment,UTR194223002002,Prestige Estates
ACC-002,2026-06-18,-1942038,debit,Prestige Estates payment,UTR994763993623,Prestige Estates
ACC-002,2026-06-18,-10906857,debit,Northwind Traders payment,UTR201045089995,Northwind Traders
ACC-002,2026-06-18,-1183481,debit,Quantum Supplies payment,UTR495215290807,Quantum Supplies
ACC-002,2026-06-19,-1974607,debit,Northwind Traders payment,UTR254618722248,Northwind Traders
ACC-002,2026-06-19,55578852,credit,Payment from Northwind Traders,,Northwind Traders
ACC-002,2026-06-19,-1022352,debit,BoltParts Pvt payment,UTR472210151899,BoltParts Pvt
ACC-002,2026-06-19,-3334479,debit,Apex Dynamics payment,UTR276756169705,Apex Dynamics
ACC-002,2026-06-20,-1084023,debit,Crest Capital payment,UTR551159223644,Crest Capital
ACC-002,2026-06-20,-1089433,debit,Synergy Solutions payment,UTR771922717098,Synergy Solutions
ACC-002,2026-06-20,-5831911,debit,Prestige Estates payment,UTR993205436233,Prestige Estates
ACC-002,2026-06-21,4246359,credit,Payment from Crest Capital,UTR608698492376,Crest Capital
ACC-002,2026-06-21,3386266,credit,Payment from Apex Dynamics,,Apex Dynamics
ACC-002,2026-06-21,26997454,credit,Payment from Crest Capital,UTR378627421655,Crest Capital
ACC-002,2026-06-21,-12227458,debit,Acme Corp Ltd payment,UTR670568762733,Acme Corp Ltd
ACC-002,2026-06-21,3378781,credit,Payment from Crest Capital,UTR397041279675,Crest Capital
ACC-002,2026-06-22,684292,credit,Payment from Bluechip Industries,UTR555381080979,Bluechip Industries
ACC-002,2026-06-22,30387421,credit,Payment from Acme Corp Ltd,UTR508372385804,Acme Corp Ltd
ACC-002,2026-06-22,80111509,credit,Payment from Zephyr Ltd,UTR262312743925,Zephyr Ltd
ACC-002,2026-06-22,3805988,credit,Payment from Northwind Traders,,Northwind Traders
ACC-002,2026-06-22,-13671277,debit,Horizon Exports payment,UTR117520141303,Horizon Exports
ACC-002,2026-06-23,-16555258,debit,Zephyr Ltd payment,UTR768843380505,Zephyr Ltd
ACC-002,2026-06-23,11557120,credit,Payment from Bluechip Industries,UTR560585590540,Bluechip Industries
ACC-002,2026-06-23,-2417448,debit,Quantum Supplies payment,UTR649348422854,Quantum Supplies
ACC-002,2026-06-23,-2066075,debit,Vertex Systems payment,UTR569402438924,Vertex Systems
ACC-002,2026-06-24,3142600,credit,Payment from Vertex Systems,UTR830948947428,Vertex Systems
ACC-002,2026-06-24,15582537,credit,Payment from Quantum Supplies,UTR965467382366,Quantum Supplies
ACC-002,2026-06-25,-4711800,debit,Pinnacle Tech payment,UTR376481228502,Pinnacle Tech
ACC-002,2026-06-25,13027521,credit,Payment from Metro Logistics,UTR214367492808,Metro Logistics
ACC-002,2026-06-26,3425493,credit,Payment from Northwind Traders,UTR807868630522,Northwind Traders
ACC-002,2026-06-26,-1628221,debit,Northwind Traders payment,UTR989841108290,Northwind Traders
